domain,final_score,grade,insight,price_suggested,price_reason,type,currently_available,source_run_id
goldedge.io,8.6429,Buy,"Short and memorable blend evoking premium or valuable advantage, fitting well for fintech or investment tech with the trendy .io extension.",1800,"As a Buy grade coined_tech_brandable with a strong score and a trendy .io TLD, this short, memorable name is priced slightly above baseline in the mid-upper range.",coined_tech_brandable,true,20260213T140104Z
kernelayer.com,8.6414,Buy,"Inventive blend combining 'kernel' and 'layer', implying a tech or software stack focus; the .com TLD adds credibility despite the longer length.",1600,This Buy grade coined_tech_brandable .com with a strong score and longer length is priced near the baseline mid-range reflecting solid brandability and credible TLD.,coined_tech_brandable,true,20260212T183345Z
cleartrue.io,8.6363,Buy,"Two simple, positive words combined that convey transparency and honesty, suitable for trust or verification tech with a modern .io TLD.",1300,"A Buy grade two_word_descriptive with a strong score and .io TLD, priced at baseline mid-range reflecting clear brandability and moderate length.",two_word_descriptive,true,20260211T162853Z
aisecure.io,8.6284,Buy,"Strong, clear niche name targeting AI security solutions, highly relevant and memorable with a fitting .io TLD.",1100,"As a Buy grade niche_vertical with a strong score and .io TLD, this clear, focused name is priced conservatively below baseline reflecting narrower appeal.",niche_vertical,true,20260213T140104Z
opengold.io,8.6284,Buy,"Memorable and evocative two-word name suggesting transparency and value, ideal for fintech or blockchain projects with a trendy .io extension.",1300,"A Buy grade two_word_descriptive .io with a strong score and good brand clarity, priced at baseline mid-range consistent with similar descriptive names.",two_word_descriptive,true,20260211T213208Z
newbase.io,8.6265,Buy,"Short, clear, and versatile two-word name implying a fresh foundation or platform, well suited for tech startups with the popular .io TLD.",1400,This Buy grade short two_word_descriptive .io with a strong score is priced slightly above baseline mid-range due to its brevity and versatility.,two_word_descriptive,true,20260212T222059Z
solidtrue.com,8.5865,Buy,"Strong, trustworthy sounding name combining 'solid' and 'true' that is easy to remember and versatile across industries, well-suited for a .com domain.",1500,"A Buy grade two_word_descriptive .com with a strong score and strong keywords 'solid' and 'true', priced at the mid-upper baseline reflecting strong brandability.",two_word_descriptive,true,20260211T221608Z
basedge.io,8.5708,Buy,"Short, punchy, and techy blend of 'base' and 'edge', very suitable for a startup or tech brand with the popular .io TLD.",1600,"As a Buy grade coined_tech_brandable with a strong score and short length, this .io name is priced slightly above baseline in the mid-upper range for tech brandables.",coined_tech_brandable,true,20260212T183345Z
nextrisk.io,8.5671,Buy,"Clear and descriptive for fintech or insurance sectors, 'nextrisk' is easy to remember and fits well with the .io extension.",1500,A strong two_word_descriptive Buy with a clear fintech/insurance focus and a solid .io TLD; priced mid-upper in the .io Buy range reflecting its clarity and length.,two_word_descriptive,true,20260212T222059Z
agentalign.io,7.8598,Buy,"Strong, clear two-word blend indicating alignment of agents, suitable for tech or SaaS with the trendy .io extension.",1200,A clear two_word_descriptive Buy with a longer length and descriptive clarity; priced in the mid range for .io Buy domains given its solid but slightly lower score.,two_word_descriptive,true,20260211T221608Z
provencore.io,7.8187,Buy,"A strong, professional-sounding blend suggesting a core or foundation with a proven aspect; memorable and suitable for tech or enterprise use with the .io extension.",1400,"As a coined_tech_brandable Buy with a professional and memorable sound, this name is priced slightly above baseline for .io Buy names reflecting its tech appeal and length.",coined_tech_brandable,true,20260212T222059Z
openverify.io,7.8136,Buy,"Clear and descriptive two-word name implying transparency and verification, ideal for security or compliance tech; .io fits the tech niche well.",1200,A descriptive two_word_descriptive Buy with a clear security/compliance implication and .io TLD; priced mid-range for its grade and length.,two_word_descriptive,true,20260212T222059Z
securerisk.ai,7.7909,Buy,Direct and descriptive name perfect for AI-driven risk management or security solutions; the .ai TLD strongly reinforces the AI focus.,2100,A descriptive two_word_descriptive Buy with strong AI relevance and a premium .ai TLD; priced in the mid-upper range of .ai Buy reflecting clarity and length.,two_word_descriptive,true,20260211T162853Z
agentdirect.io,6.7324,Buy,"Descriptive and straightforward, implying a direct service related to agents; the .io TLD fits well with tech or SaaS products, though the name is somewhat niche.",900,A descriptive two_word_descriptive Buy with a somewhat niche appeal and longer length; priced conservatively in the lower-mid .io Buy range.,two_word_descriptive,true,20260213T140104Z
controledge.io,6.2151,Buy,"Clear two-part name implying control and advantage, suitable for tech or management tools; the .io TLD aligns well with tech branding.",850,A two_word_descriptive Buy with a clear meaning but lower score and longer length; priced toward the lower end of .io Buy range due to niche appeal.,two_word_descriptive,true,20260212T183345Z
newfund.io,6.2089,Buy,"Simple and descriptive for fintech or investment platforms, with a clean .io TLD that appeals to startups.",1000,"A short, clear two_word_descriptive Buy with fintech relevance and a strong .io TLD; priced mid-range for its grade and length.",two_word_descriptive,true,20260211T204838Z
bluekit.io,6.1811,Buy,"Short, catchy, and versatile, 'bluekit' suggests a toolkit or product suite with a trustworthy color association; well suited to .io.",1300,A short coined_tech_brandable Buy with catchy and versatile appeal; priced slightly above baseline in the .io Buy range due to length and brandability.,coined_tech_brandable,true,20260211T204838Z
redelta.io,6.1775,Buy,"Inventive blend suggesting change or difference ('delta') with a bold color prefix, making it memorable and fitting for tech startups with .io.",1250,A short coined_tech_brandable Buy with a memorable blend and tech startup vibe; priced slightly above baseline in the .io Buy range given its length and brand appeal.,coined_tech_brandable,true,20260211T204838Z
newecho.io,6.1767,Buy,"Clear and memorable, 'new echo' suggests innovation and resonance, well suited for tech or media startups; the .io TLD aligns with tech branding.",1000,A two_word_descriptive Buy with clear brandability and a strong tech vibe; priced at the lower-mid range of .io for its grade given the moderate score and short length.,two_word_descriptive,true,20260209T185040Z
