domain,final_score,grade,insight,price_suggested,price_reason,type,currently_available,source_run_id
aialign.io,8.5986,Strong Buy,"Highly brandable and clear AI-focused name that combines 'AI' and 'align', perfect for an AI startup or tool, with a premium .io TLD.",2300,"As a Strong Buy two_word_descriptive domain with a clear AI focus and a premium .io TLD, this 7-character name is priced in the mid-upper range of the .io band, reflecting its strong brandability and clarity.",two_word_descriptive,true,20260204T161513Z
verifyrail.com,8.6473,Buy,"Clear and descriptive two-part name suggesting verification related to rail or tracking, suitable for logistics or transport tech; the .com TLD adds credibility.",1500,"A Buy grade two_word_descriptive .com with a clear, descriptive name and medium length, priced at the baseline mid-range for .com two-word names reflecting solid brandability.",two_word_descriptive,true,20260205T143003Z
kerneltrue.com,8.6461,Buy,"A coined blend with tech appeal combining 'kernel' and 'true', memorable and brandable for software or security niches with a trustworthy tone.",1800,This Buy coined_tech_brandable .com blends tech appeal and trustworthiness; priced slightly above the baseline for its grade and TLD due to its memorable and brandable nature.,coined_tech_brandable,true,20260205T153138Z
railsolid.com,8.6445,Buy,"Strong, descriptive two-word domain implying reliability and strength in rail or transport sectors; clear and easy to remember with a solid .com.",1500,"A Buy grade two_word_descriptive .com with a strong, clear, and memorable name, priced at the baseline mid-range for .com two-word names given its solid brandability.",two_word_descriptive,true,20260205T153138Z
kernelayer.com,8.6414,Buy,"Invented tech-sounding name combining 'kernel' and 'layer', suitable for software or infrastructure brands; moderately clear and brandable.",1750,"As a Buy coined_tech_brandable .com with moderate clarity and brandability, this name is priced slightly above baseline reflecting its tech appeal and length.",coined_tech_brandable,true,20260205T143003Z
gobase.io,8.6398,Buy,"Short, action-oriented name with a tech-friendly .io TLD, easy to remember and versatile for developer tools or platforms.",2000,"This short_premium Buy .io domain is short, action-oriented, and highly brandable, justifying a price toward the higher end of the .io Buy range for premium short names.",short_premium,true,20260205T143450Z
localatlas.ai,7.5095,Buy,"Strong two-word descriptive name implying local mapping or data services, well suited for AI applications with geographic or local focus.",900,"A Buy grade two_word_descriptive .ai domain with a local focus and medium length, priced conservatively in the lower-mid range of the .ai band due to its niche appeal.",two_word_descriptive,true,20260202T013339Z
agentsolid.ai,7.4896,Buy,"Clear and professional sounding, combining 'agent' and 'solid' suggests trustworthiness and reliability, fitting well for AI-driven service or security brands.",900,"This Buy two_word_descriptive .ai name is clear and professional but niche, so it is priced conservatively in the lower-mid range of the .ai band reflecting solid but narrower appeal.",two_word_descriptive,true,20260204T132503Z
newforge.ai,7.3028,Buy,"Memorable and evocative, 'newforge' implies creation and innovation, suitable for tech startups or AI development platforms with a strong .ai TLD fit.",800,"A Buy two_word_descriptive .ai domain with a creative and evocative name but a lower score and shorter length, priced toward the lower end of the .ai Buy range due to moderate brandability.",two_word_descriptive,true,20260205T141905Z
provenbase.ai,7.2285,Buy,"Suggests a reliable foundation or data source, fitting for AI platforms focused on verified data or analytics, with good clarity and memorability.",850,"As a two_word_descriptive Buy with a score in the lower part of the band and a .ai TLD, it is priced conservatively near the lower-mid range reflecting solid clarity and brandability.",two_word_descriptive,true,20260205T143003Z
smartatlas.ai,7.2108,Buy,"Evokes intelligence and comprehensive mapping or data solutions, well-suited for AI-driven geographic or data visualization tools.",850,"This two_word_descriptive Buy with a .ai TLD and a score in the lower band is priced in the lower-mid range, balancing clarity and moderate brand appeal.",two_word_descriptive,true,20260205T143003Z
solidaudit.ai,7.2083,Buy,"Strong, descriptive name for auditing services enhanced by AI, implying robustness and thoroughness, with good brand clarity.",850,"A descriptive two_word_descriptive name with a Buy grade and .ai TLD, priced conservatively in the lower-mid range due to its solid but not exceptional score.",two_word_descriptive,true,20260204T144146Z
aigrain.io,7.101,Buy,"Combines 'AI' with 'grain', suggesting a tech or data-related brand; the .io TLD fits well for tech startups, though the name is somewhat abstract.",850,"As a coined_tech_brandable Buy on .io with a score in the lower band, it is priced slightly above baseline to reflect its tech appeal and memorable blend.",coined_tech_brandable,true,20260131T165646Z
newcrisp.com,7.0743,Buy,"Clear, fresh-sounding two-word name that is easy to remember and pronounce; suitable for a variety of products or services with a modern feel.",1100,"A two_word_descriptive Buy on .com with a score in the lower band, priced at the baseline lower-mid range for clear and fresh brandability.",two_word_descriptive,true,20260203T002304Z
blueluno.com,7.0602,Buy,"Inventive and brandable coined name with a pleasant sound and color association, well-suited for tech or lifestyle brands on a .com.",1200,"A coined_tech_brandable Buy on .com with a score in the lower band, priced slightly above baseline to reflect its pleasant, inventive sound and .com TLD.",coined_tech_brandable,true,20260203T002304Z
aihouse.io,7.0246,Buy,"Strong combination of 'AI' and 'house', implying a tech hub or platform; memorable and well-suited to the .io TLD for tech applications.",850,"Two_word_descriptive Buy on .io with a lower band score, priced near baseline reflecting strong clarity and tech suitability.",two_word_descriptive,true,20260131T165646Z
baseboundary.com,7.014,Buy,"Clear and descriptive two-word name that conveys foundational or security concepts, with strong .com suitability and good memorability.",1100,"A two_word_descriptive Buy on .com with a longer length and lower band score, priced at baseline lower-mid range for clear and descriptive branding.",two_word_descriptive,true,20260205T153138Z
godepth.io,7.0132,Buy,"Actionable and evocative two-word name suggesting exploration or analysis, fitting well with .io for tech or data-focused startups.",850,"Two_word_descriptive Buy on .io with a score in the lower band, priced near baseline reflecting actionable clarity and tech appeal.",two_word_descriptive,true,20260131T165646Z
smartkernel.io,6.7716,Buy,"Combines 'smart' and 'kernel' to suggest intelligence at a core level, suitable for tech or AI products; .io fits the tech vibe well though the name is slightly longer.",800,"A longer two_word_descriptive Buy on .io with a lower score, priced conservatively near the low end of the range given length and moderate brand clarity.",two_word_descriptive,true,20260204T214016Z
